,mag
51571,4.5
51753,4.7
51777,4.6
51828,4.4
51907,4.7
52117,4.6
52154,4.3
52174,4.6
52222,5.2
52315,4.7
52334,4.7
52487,4.6
52495,4.3
52546,5.3
52674,4.5
52676,4.4
52781,5.6
52798,5.5
52804,4.6
53075,5.5
53532,4.3
53635,4.5
53652,4.6
53853,4.4
53977,4.4
53988,4.6
54007,5.0
54048,4.7
54067,4.4
54527,4.4
54575,4.7
54602,4.5
54680,4.8
54713,4.4
54809,4.2
54824,4.6
54839,4.7
54876,4.8
54885,4.5
54887,4.4
55035,5.2
55354,4.4
55357,4.1
55435,4.4
55481,4.0
55536,4.2
55559,4.5
55705,4.2
55784,4.2
55845,4.4
55943,4.3
55984,4.6
56188,4.4
56373,4.6
56395,4.9
56638,4.6
56684,4.6
56692,4.4
56755,4.6
56788,4.1
56882,4.0
57078,4.4
57168,4.1
57351,4.0
57465,4.6
57475,4.3
57561,4.5
57714,4.4
57807,4.4
57953,4.5
58091,4.6
58133,4.5
58311,4.5
58391,4.8
58724,4.3
58735,4.6
58850,4.8
58862,4.5
58911,4.5
58989,4.4
59011,4.6
59025,4.4
59036,4.5
59076,4.2
59152,4.7
59266,4.5
59285,4.1
59299,4.6
59330,4.3
59401,4.5
59427,4.6
59526,4.8
59887,5.0
60134,5.1
60282,4.5
60371,4.4
60566,4.2
60594,4.6
60725,4.1
60740,4.3
60837,4.8
60869,4.2
60903,4.6
61069,4.4
61155,4.5
61282,4.7
61318,4.5
61532,4.2
61575,4.6
61677,4.0
61733,4.6
62093,4.6
62322,4.6
62458,4.5
62464,4.6
62543,4.3
62984,4.4
63106,4.1
63143,4.3
63305,4.6
63432,4.7
63444,4.3
63492,4.3
63503,4.9
63527,4.1
63559,4.5
63561,4.1
63648,4.1
63676,4.3
63778,4.4
63779,4.6
63802,4.6
63803,4.4
63990,4.2
64034,4.5
64104,4.7
64186,4.4
64239,4.4
64241,4.0
64335,4.4
64344,4.5
64364,4.5
64372,4.1
64381,4.4
64454,4.5
64475,4.4
64533,4.2
64559,4.3
64565,4.5
64568,4.2
64578,4.4
64593,4.4
64600,4.3
64601,4.5
64616,4.5
64624,4.4
64625,4.2
64630,4.5
64632,4.7
64634,4.8
64635,4.6
64637,4.5
64639,4.7
64640,4.7
64641,4.8
64642,5.0
64643,5.1
64645,5.2
64647,6.5
64723,5.3
64908,4.0
64918,4.4
65084,4.7
65160,4.4
65190,4.2
65317,4.4
65425,4.1
65465,4.1
65597,4.4
65686,4.0
65785,5.5
65911,4.6
65949,4.8
65953,4.4
65966,4.4
65967,4.0
66008,4.4
66095,4.7
66272,4.2
66526,4.6
66630,4.3
67030,4.8
67163,4.9
67208,4.1
67262,4.5
67285,4.4
67420,5.7
67451,4.1
67495,4.3
67514,4.6
67708,4.3
67746,4.5
67944,4.0
67964,4.3
68050,4.5
68055,4.5
68065,4.3
68086,4.9
68109,4.5
68172,4.4
68176,4.2
68256,4.5
68424,4.7
68448,4.5
68527,4.8
