,mag,effectif,Pays_Cotier
20864.0,0.6,,
20865.0,1.8,,
20866.0,1.4,,
20867.0,1.0,,
20868.0,1.8,,
20869.0,1.6,,
20870.0,1.37,,
20871.0,1.0,,
20872.0,0.9,,
20873.0,3.0,,
20874.0,1.2,,
20875.0,0.4,,
20876.0,0.26,,
20877.0,1.1,,
20878.0,1.1,,
20879.0,1.4,,
20880.0,1.17,,
20881.0,2.1,,
20883.0,0.5,,
20884.0,1.5,,
20885.0,1.8,,
20886.0,0.76,,
20887.0,1.9,,
20888.0,0.69,,
20889.0,4.2,,
20890.0,0.4,,
20891.0,0.4,,
20892.0,0.1,,
20893.0,4.2,,
20895.0,1.4,,
20896.0,1.0,,
20897.0,0.97,,
20899.0,4.2,,
20900.0,0.93,,
20901.0,1.1,,
20903.0,1.7,,
20904.0,2.0,,
20905.0,2.8,,
20906.0,1.6,,
20907.0,1.5,,
20908.0,4.6,,
20909.0,1.12,,
20910.0,0.2,,
20911.0,0.8,,
20912.0,0.91,,
20913.0,1.17,,
20914.0,4.8,,
20915.0,1.5,,
20916.0,1.6,,
20917.0,5.4,,
20918.0,5.9,,
20919.0,1.6,,
20920.0,2.53,,
20921.0,0.53,,
20922.0,1.4,,
20923.0,4.3,,
20924.0,1.5,,
20925.0,1.1,,
20926.0,0.5,,
20927.0,0.34,,
20928.0,2.3,,
20930.0,2.5,,
20931.0,0.42,,
20932.0,1.0,,
20933.0,1.3,,
20934.0,1.7,,
20935.0,0.8,,
20936.0,1.5,,
20937.0,4.0,,
20938.0,1.37,,
20939.0,0.4,,
20940.0,1.4,,
20941.0,4.3,,
20942.0,0.62,,
20943.0,0.2,,
20944.0,0.3,,
20945.0,1.2,,
20946.0,1.0,,
20947.0,1.2,,
20948.0,0.43,,
20949.0,1.0,,
20950.0,0.83,,
20951.0,1.9,,
20952.0,0.8,,
20953.0,0.8,,
20954.0,2.0,,
20956.0,2.2,,
20957.0,4.5,,
20958.0,0.33,,
20959.0,4.2,,
20960.0,4.0,,
20961.0,4.2,,
20962.0,4.1,,
20963.0,4.4,,
20964.0,1.03,,
20965.0,3.0,,
20966.0,1.3,,
20967.0,0.49,,
20968.0,4.1,,
20969.0,4.4,,
20971.0,1.0,,
20972.0,1.0,,
20973.0,1.7,,
20974.0,0.3,,
20975.0,1.61,,
20976.0,1.2,,
20977.0,1.8,,
20978.0,1.2,,
20979.0,0.2,,
20980.0,1.7,,
20981.0,0.4,,
20982.0,1.6,,
20983.0,0.64,,
20984.0,2.0,,
20986.0,4.0,,
20987.0,0.4,,
20988.0,1.7,,
20989.0,0.5,,
20990.0,1.4,,
20991.0,1.04,,
20992.0,0.9,,
20993.0,2.6,,
20995.0,0.88,,
20996.0,5.0,,
20997.0,2.1,,
20998.0,0.68,,
20999.0,4.1,,
21000.0,4.0,,
21001.0,1.2,,
21002.0,4.6,,
21003.0,1.3,,
21005.0,1.2,,
21006.0,4.2,,
21007.0,4.8,,
21008.0,1.0,,
21009.0,0.9,,
21010.0,1.9,,
21012.0,0.71,,
21014.0,0.56,,
21016.0,1.13,,
21017.0,0.3,,
21018.0,4.1,,
21019.0,0.2,,
21020.0,4.4,,
21021.0,5.2,,
21022.0,1.2,,
21023.0,0.62,,
21024.0,0.9,,
21025.0,2.3,,
21026.0,1.1,,
21027.0,0.6,,
21028.0,2.1,,
21029.0,1.8,,
21030.0,1.8,,
21031.0,2.3,,
21032.0,4.8,,
21033.0,1.4,,
21035.0,1.8,,
21037.0,0.2,,
21038.0,0.93,,
21041.0,1.8,,
21042.0,4.0,,
21043.0,4.7,,
21045.0,1.35,,
21046.0,1.11,,
21047.0,0.73,,
21048.0,1.1,,
21049.0,1.9,,
21050.0,4.0,,
21051.0,4.6,,
21052.0,4.1,,
21053.0,0.7,,
21054.0,1.3,,
21055.0,2.2,,
21057.0,0.55,,
21058.0,4.1,,
21059.0,3.9,,
21060.0,1.6,,
21061.0,1.5,,
21062.0,0.9,,
21063.0,1.2,,
21064.0,1.1,,
21065.0,2.4,,
21066.0,3.9,,
21067.0,2.43,,
21068.0,1.8,,
21069.0,4.4,,
21070.0,2.3,,
21071.0,1.11,,
21072.0,1.4,,
21073.0,2.3,,
21074.0,3.9,,
21075.0,1.1,,
21076.0,0.9,,
21077.0,4.2,,
21079.0,2.0,,
21080.0,0.5,,
21081.0,4.8,,
21083.0,0.3,,
21084.0,4.4,,
21085.0,1.3,,
21086.0,4.2,,
21087.0,0.56,,
21088.0,2.3,,
21089.0,4.5,,
21090.0,1.3,,
21091.0,1.1,,
21092.0,1.0,,
21093.0,4.0,,
21094.0,2.1,,
21095.0,4.2,,
21096.0,4.6,,
21097.0,1.4,,
21098.0,2.6,,
21099.0,1.2,,
21100.0,0.8,,
21101.0,1.1,,
21105.0,1.6,,
21106.0,4.6,,
21107.0,0.55,,
21108.0,1.2,,
21109.0,1.8,,
21110.0,2.8,,
21111.0,0.5,,
21112.0,0.4,,
21113.0,1.07,,
21115.0,4.6,,
21116.0,1.7,,
21117.0,1.3,,
21118.0,4.5,,
21119.0,4.0,,
21120.0,0.74,,
21121.0,4.9,,
21122.0,4.7,,
21123.0,5.6,,
21124.0,4.5,,
21125.0,4.6,,
21126.0,0.4,,
21127.0,5.2,,
21128.0,0.5,,
21129.0,1.11,,
21130.0,0.99,,
21131.0,2.3,,
21132.0,1.21,,
21133.0,6.2,,
21134.0,5.1,,
21135.0,0.4,,
21136.0,1.05,,
21137.0,1.5,,
21138.0,0.12,,
21139.0,0.65,,
21140.0,4.2,,
21141.0,1.11,,
21142.0,0.2,,
21143.0,0.26,,
21144.0,0.8,,
21145.0,4.1,,
21146.0,0.2,,
21147.0,1.86,,
21149.0,2.8,,
21150.0,0.5,,
21151.0,4.2,,
21152.0,0.15,,
21153.0,2.3,,
21154.0,1.9,,
21155.0,4.6,,
21156.0,1.5,,
21157.0,1.1,,
21158.0,2.2,,
21159.0,2.6,,
21160.0,0.6,,
21161.0,2.3,,
21164.0,1.5,,
21165.0,0.2,,
21166.0,0.6,,
21167.0,0.75,,
21168.0,1.7,,
21169.0,1.5,,
21170.0,0.9,,
21171.0,0.2,,
21172.0,1.18,,
21173.0,1.1,,
21174.0,0.3,,
21175.0,0.3,,
21176.0,0.45,,
21179.0,4.5,,
21180.0,1.07,,
21181.0,4.3,,
21182.0,1.7,,
21183.0,1.3,,
21184.0,1.4,,
21185.0,0.4,,
21186.0,0.8,,
21187.0,0.9,,
21188.0,1.12,,
21189.0,2.1,,
21190.0,0.56,,
21191.0,4.6,,
21192.0,0.4,,
21193.0,0.6,,
21194.0,0.4,,
21195.0,2.0,,
21196.0,0.82,,
21197.0,1.2,,
21199.0,1.4,,
21200.0,0.9,,
21201.0,0.9,,
21202.0,1.8,,
21205.0,2.0,,
21206.0,1.4,,
21207.0,0.9,,
21208.0,4.5,,
21209.0,1.13,,
21210.0,4.6,,
21211.0,1.51,,
21212.0,4.5,,
21213.0,0.8,,
21214.0,0.9,,
21215.0,0.52,,
21216.0,1.4,,
21217.0,1.01,,
21218.0,4.6,,
21220.0,1.5,,
21223.0,0.8,,
21225.0,1.4,,
21226.0,1.1,,
21227.0,2.3,,
21229.0,1.02,,
21230.0,1.3,,
21231.0,1.13,,
21232.0,0.6,,
21233.0,1.32,,
21234.0,4.0,,
21235.0,1.0,,
21236.0,1.6,,
21237.0,1.4,,
21238.0,0.5,,
21239.0,2.1,,
21240.0,0.9,,
21241.0,0.6,,
21242.0,1.1,,
21244.0,1.94,,
21245.0,1.3,,
21246.0,4.3,,
21247.0,2.1,,
21248.0,0.6,,
21249.0,0.5,,
21250.0,2.15,,
21251.0,1.5,,
21252.0,4.1,,
21253.0,0.8,,
21254.0,1.56,,
21255.0,0.85,,
21256.0,1.29,,
21257.0,4.1,,
21258.0,0.9,,
21259.0,1.47,,
21260.0,2.21,,
21261.0,1.3,,
21262.0,0.4,,
21263.0,0.9,,
21264.0,1.41,,
21265.0,1.04,,
21269.0,0.7,,
21270.0,0.0,,
21272.0,1.02,,
21273.0,1.5,,
21274.0,0.78,,
21275.0,2.6,,
21276.0,2.26,,
21277.0,2.6,,
21279.0,1.0,,
21281.0,0.2,,
21283.0,1.45,,
21285.0,4.3,,
21286.0,2.67,,
21287.0,1.21,,
21288.0,2.1,,
21289.0,1.27,,
21291.0,0.2,,
21292.0,1.05,,
21293.0,1.4,,
21294.0,1.5,,
21295.0,1.3,,
21296.0,0.5,,
21297.0,1.8,,
21298.0,1.0,,
21299.0,1.24,,
21300.0,4.6,,
21301.0,0.9,,
21302.0,1.2,,
21304.0,0.2,,
21305.0,1.9,,
21306.0,1.2,,
21308.0,1.1,,
21309.0,4.3,,
21310.0,0.9,,
21311.0,5.3,,
21312.0,1.31,,
21313.0,0.6,,
21314.0,3.1,,
21315.0,2.1,,
21316.0,4.9,,
21317.0,0.72,,
21318.0,1.5,,
21319.0,1.8,,
21320.0,0.83,,
21321.0,4.7,,
21322.0,1.0,,
21323.0,4.6,,
21324.0,1.9,,
21325.0,1.0,,
21326.0,1.8,,
21327.0,1.8,,
21328.0,4.0,,
21329.0,4.0,,
21330.0,0.8,,
21331.0,4.4,,
21332.0,2.0,,
21333.0,1.2,,
21334.0,1.91,,
21335.0,0.6,,
21336.0,2.6,,
21337.0,3.8,,
21338.0,0.9,,
21340.0,4.4,,
21342.0,1.3,,
21343.0,2.7,,
21344.0,4.3,,
21346.0,0.2,,
21347.0,2.0,,
21349.0,1.5,,
21350.0,1.7,,
21351.0,1.1,,
21352.0,0.4,,
21353.0,4.6,,
21354.0,1.51,,
21355.0,1.6,,
21356.0,4.3,,
21357.0,4.4,,
21358.0,2.9,,
21359.0,0.7,,
21360.0,4.6,,
21361.0,4.0,,
21362.0,5.2,,
21363.0,1.3,,
21364.0,0.8,,
21365.0,0.2,,
21366.0,0.9,,
21367.0,0.7,,
21368.0,0.8,,
21369.0,0.9,,
21371.0,4.0,,
21372.0,1.0,,
21374.0,0.39,,
21375.0,4.4,,
21376.0,4.3,,
21377.0,4.1,,
21378.0,1.2,,
21379.0,1.4,,
21381.0,1.09,,
21382.0,0.37,,
21383.0,1.39,,
21384.0,4.6,,
21385.0,3.2,,
21386.0,4.9,,
21387.0,1.2,,
21388.0,2.3,,
21389.0,0.7,,
21391.0,0.4,,
21392.0,4.6,,
21393.0,2.7,,
21394.0,2.3,,
21395.0,4.3,,
21397.0,1.0,,
21398.0,1.67,,
21399.0,1.6,,
21400.0,0.8,,
21401.0,0.1,,
21402.0,1.3,,
21403.0,3.9,,
21404.0,1.0,,
21405.0,4.3,,
21406.0,2.7,,
21407.0,0.99,,
21408.0,0.6,,
21409.0,1.24,,
21410.0,1.14,,
21411.0,3.1,,
21412.0,0.3,,
21413.0,4.3,,
21414.0,4.4,,
21415.0,1.67,,
21416.0,1.3,,
21417.0,4.6,,
21418.0,2.0,,
21419.0,4.9,,
21420.0,4.0,,
21423.0,1.0,,
21424.0,0.96,,
21425.0,4.3,,
21426.0,4.5,,
21427.0,0.1,,
21428.0,1.0,,
21429.0,4.4,,
21431.0,4.3,,
21432.0,4.4,,
21433.0,0.5,,
21434.0,1.1,,
21435.0,4.3,,
21436.0,4.2,,
21437.0,1.5,,
21438.0,1.2,,
21439.0,0.3,,
21440.0,1.9,,
21441.0,0.6,,
21445.0,2.0,,
21446.0,0.2,,
21447.0,4.7,,
21448.0,4.3,,
21449.0,4.6,,
21450.0,4.3,,
21451.0,4.2,,
21452.0,4.0,,
21453.0,4.5,,
21454.0,0.2,,
21455.0,4.7,,
21456.0,0.92,,
21457.0,1.6,,
21458.0,1.3,,
21459.0,4.6,,
21460.0,4.5,,
21461.0,4.7,,
21462.0,4.3,,
21463.0,1.1,,
21464.0,4.5,,
21465.0,4.8,,
21466.0,1.5,,
21467.0,0.5,,
21468.0,4.7,,
21469.0,0.7,,
21470.0,1.2,,
21471.0,5.1,,
21472.0,1.2,,
21473.0,1.9,,
21474.0,4.5,,
21475.0,4.4,,
21476.0,0.4,,
21477.0,3.8,,
21478.0,4.7,,
21479.0,1.4,,
21480.0,1.7,,
21481.0,0.6,,
21482.0,4.8,,
21483.0,4.8,,
21484.0,5.2,,
21485.0,1.4,,
21486.0,4.7,,
21487.0,4.4,,
21488.0,4.8,,
21490.0,4.8,,
21491.0,5.1,,
21492.0,5.5,,
21493.0,4.4,,
21494.0,4.4,,
21495.0,2.2,,
21496.0,4.6,,
21497.0,4.7,,
21498.0,1.3,,
21499.0,4.6,,
21500.0,1.8,,
21501.0,4.8,,
21502.0,4.9,,
21503.0,4.6,,
21504.0,4.8,,
21505.0,1.8,,
21506.0,4.7,,
21507.0,0.8,,
21508.0,6.4,,
21509.0,0.74,,
21510.0,1.6,,
21512.0,1.5,,
21513.0,1.3,,
21514.0,4.0,,
21515.0,0.62,,
21516.0,2.5,,
21517.0,0.21,,
21518.0,4.1,,
21519.0,1.3,,
21520.0,1.8,,
21521.0,4.1,,
21522.0,2.6,,
21523.0,0.8,,
21524.0,1.1,,
21525.0,2.9,,
21527.0,2.0,,
21528.0,4.5,,
21529.0,1.2,,
21532.0,4.4,,
21533.0,2.9,,
21534.0,1.6,,
21535.0,1.9,,
21536.0,4.2,,
21537.0,1.4,,
21539.0,2.2,,
21541.0,1.3,,
21542.0,2.0,,
21543.0,1.3,,
21544.0,2.5,,
21545.0,1.2,,
21546.0,1.28,,
21547.0,1.4,,
21550.0,4.1,,
21551.0,1.3,,
21552.0,0.9,,
21553.0,0.9,,
21554.0,1.0,,
21555.0,0.9,,
21557.0,2.6,,
21558.0,1.0,,
21559.0,0.91,,
21560.0,0.5,,
21561.0,0.2,,
21562.0,1.2,,
21563.0,1.3,,
21564.0,4.1,,
21565.0,1.0,,
21566.0,0.92,,
21567.0,1.9,,
21568.0,4.4,,
21569.0,4.7,,
21571.0,1.7,,
21572.0,1.0,,
21573.0,4.8,,
21574.0,2.4,,
21576.0,2.2,,
21577.0,1.2,,
21578.0,2.2,,
21580.0,2.5,,
21581.0,4.0,,
21582.0,4.4,,
21586.0,0.4,,
21589.0,1.41,,
21590.0,3.7,,
21591.0,0.29,,
21593.0,0.37,,
21594.0,1.4,,
21595.0,0.96,,
21597.0,2.1,,
21599.0,1.3,,
21600.0,0.55,,
21601.0,1.0,,
21603.0,0.32,,
21604.0,1.5,,
21605.0,0.46,,
21606.0,0.6,,
21607.0,0.9,,
21608.0,1.3,,
21609.0,4.3,,
21610.0,1.1,,
21611.0,1.9,,
21612.0,1.1,,
21613.0,0.36,,
21614.0,1.4,,
21615.0,0.47,,
21616.0,1.5,,
21617.0,1.1,,
21619.0,1.18,,
21620.0,0.67,,
21622.0,2.0,,
21623.0,0.4,,
21624.0,2.2,,
21625.0,0.8,,
21626.0,3.4,,
21627.0,3.1,,
21628.0,2.3,,
21629.0,2.4,,
21630.0,4.4,,
21631.0,0.9,,
21632.0,2.63,,
21634.0,1.3,,
21635.0,1.6,,
21637.0,1.4,,
21638.0,0.5,,
21639.0,0.0,,
21640.0,0.94,,
21641.0,1.3,,
21642.0,0.7,,
21643.0,0.52,,
21644.0,0.34,,
21645.0,1.0,,
21646.0,1.0,,
21647.0,1.2,,
21650.0,1.5,,
21653.0,1.3,,
21654.0,0.4,,
21655.0,0.9,,
21656.0,1.6,,
21657.0,1.87,,
21658.0,1.5,,
21659.0,1.0,,
21660.0,0.6,,
21661.0,4.6,,
21662.0,1.7,,
21663.0,1.4,,
21666.0,4.4,,
21667.0,2.6,,
21668.0,0.4,,
21669.0,0.88,,
21670.0,1.71,,
21671.0,1.2,,
21672.0,1.08,,
21673.0,1.6,,
21674.0,1.8,,
21675.0,0.6,,
21677.0,4.0,,
21678.0,4.4,,
21679.0,2.1,,
21680.0,4.0,,
21681.0,0.81,,
21682.0,0.3,,
21684.0,0.8,,
21685.0,1.2,,
21686.0,2.6,,
21688.0,4.0,,
21689.0,4.0,,
21691.0,1.07,,
21692.0,4.2,,
21693.0,1.1,,
21694.0,5.0,,
21695.0,0.96,,
21698.0,1.03,,
21699.0,1.1,,
21700.0,1.2,,
21701.0,5.8,,
21702.0,1.58,,
21703.0,0.9,,
21704.0,1.5,,
21705.0,4.2,,
21706.0,1.66,,
21707.0,1.5,,
21708.0,1.6,,
21709.0,0.9,,
21710.0,0.4,,
21712.0,4.4,,
21713.0,0.5,,
21714.0,2.0,,
21715.0,0.7,,
21718.0,4.4,,
21719.0,1.5,,
21721.0,0.75,,
21722.0,2.3,,
21724.0,2.1,,
21725.0,2.1,,
21726.0,1.2,,
21727.0,1.7,,
21728.0,0.46,,
21729.0,0.5,,
21731.0,0.3,,
21733.0,1.14,,
21734.0,0.8,,
21735.0,1.12,,
21736.0,1.2,,
21738.0,1.4,,
21739.0,0.4,,
21740.0,1.6,,
21741.0,4.4,,
21742.0,1.6,,
21743.0,2.0,,
21744.0,0.46,,
21745.0,1.1,,
21746.0,0.5,,
21747.0,2.14,,
21748.0,5.6,,
21749.0,0.9,,
21750.0,4.5,,
21751.0,0.9,,
21752.0,2.58,,
21753.0,5.1,,
21754.0,0.55,,
21755.0,2.0,,
21756.0,0.7,,
21757.0,4.4,,
21758.0,0.9,,
21759.0,1.3,,
21760.0,0.76,,
21761.0,1.4,,
21762.0,1.38,,
21763.0,0.8,,
21764.0,1.2,,
21765.0,1.5,,
21766.0,4.6,,
21767.0,2.23,,
21768.0,5.0,,
21769.0,1.92,,
21770.0,1.6,,
21771.0,0.9,,
21772.0,0.55,,
21773.0,0.5,,
21774.0,0.32,,
21775.0,4.1,,
21776.0,0.9,,
21777.0,0.27,,
21778.0,0.38,,
21779.0,0.01,,
21780.0,1.0,,
21781.0,1.1,,
21782.0,2.6,,
21783.0,1.4,,
21784.0,0.11,,
21786.0,4.2,,
21788.0,4.5,,
21789.0,3.2,,
21790.0,2.6,,
21791.0,1.0,,
21792.0,4.8,,
21793.0,5.4,,
21794.0,0.49,,
21795.0,1.4,,
21796.0,1.4,,
21797.0,4.3,,
21799.0,4.2,,
21802.0,1.6,,
21803.0,0.72,,
21804.0,0.8,,
21805.0,3.1,,
21806.0,0.7,,
21807.0,0.5,,
21808.0,1.1,,
21809.0,2.6,,
21810.0,1.0,,
21812.0,4.2,,
21813.0,1.0,,
21814.0,0.3,,
21815.0,4.2,,
21816.0,2.1,,
21817.0,1.5,,
21818.0,1.17,,
21819.0,1.1,,
21820.0,4.3,,
21821.0,1.5,,
21822.0,1.8,,
21823.0,1.4,,
21825.0,1.04,,
21826.0,4.3,,
21827.0,0.5,,
21828.0,4.3,,
21829.0,0.5,,
21830.0,1.5,,
21831.0,1.1,,
21832.0,2.8,,
21833.0,2.9,,
21834.0,0.7,,
21835.0,1.2,,
21836.0,2.3,,
21837.0,1.3,,
21839.0,2.5,,
21840.0,4.1,,
21841.0,1.9,,
21842.0,0.6,,
21843.0,1.2,,
21844.0,4.2,,
21846.0,0.56,,
21847.0,3.6,,
21848.0,4.5,,
21850.0,0.5,,
21851.0,1.2,,
21852.0,0.4,,
21853.0,1.3,,
21854.0,0.27,,
21856.0,1.1,,
21857.0,0.4,,
21858.0,1.2,,
21859.0,0.2,,
21860.0,1.3,,
21862.0,1.0,,
21866.0,0.2,,
21867.0,1.0,,
21868.0,4.1,,
21869.0,4.0,,
21870.0,1.7,,
21871.0,1.08,,
21872.0,0.56,,
21875.0,1.1,,
21876.0,0.84,,
21877.0,1.33,,
21878.0,0.61,,
21879.0,0.6,,
21880.0,2.6,,
21881.0,0.4,,
21882.0,1.3,,
21883.0,0.5,,
21884.0,0.92,,
21885.0,4.2,,
21886.0,2.0,,
21887.0,4.5,,
21888.0,1.6,,
21889.0,0.42,,
21890.0,1.37,,
21892.0,4.2,,
21893.0,2.3,,
21894.0,2.1,,
21895.0,1.0,,
21896.0,1.33,,
21897.0,0.09,,
21898.0,0.04,,
21899.0,0.68,,
21900.0,0.4,,
21901.0,1.1,,
21902.0,2.8,,
21903.0,4.1,,
21904.0,2.5,,
21906.0,4.6,,
21907.0,0.35,,
21908.0,2.5,,
21909.0,0.7,,
21910.0,2.6,,
21911.0,2.0,,
21912.0,0.39,,
21913.0,0.3,,
21914.0,1.1,,
21915.0,0.99,,
21916.0,1.3,,
21917.0,1.8,,
21918.0,4.6,,
21919.0,0.3,,
21920.0,0.02,,
21921.0,0.8,,
21922.0,0.92,,
21923.0,4.3,,
21924.0,1.2,,
21925.0,0.8,,
21926.0,1.3,,
21927.0,2.3,,
21928.0,2.1,,
21929.0,1.9,,
21930.0,1.65,,
21931.0,0.82,,
21932.0,0.9,,
21934.0,1.0,,
21935.0,0.89,,
21936.0,0.5,,
21937.0,0.9,,
21938.0,0.11,,
21939.0,1.4,,
21941.0,1.53,,
21942.0,1.3,,
21943.0,4.4,,
21944.0,4.6,,
21945.0,1.24,,
21946.0,0.38,,
21947.0,2.0,,
21950.0,0.5,,
21951.0,2.24,,
21952.0,3.2,,
21953.0,0.3,,
21954.0,1.14,,
21955.0,0.6,,
21956.0,0.1,,
21958.0,0.9,,
21959.0,1.3,,
21960.0,1.17,,
21961.0,4.5,,
21962.0,0.37,,
21963.0,0.9,,
21965.0,4.0,,
21966.0,1.1,,
21967.0,1.0,,
21968.0,1.8,,
21969.0,2.7,,
21970.0,1.1,,
21971.0,1.7,,
21972.0,1.45,,
21974.0,1.6,,
21976.0,1.0,,
21977.0,0.12,,
21978.0,2.27,,
21979.0,1.0,,
21980.0,1.1,,
21981.0,1.2,,
21982.0,0.9,,
21983.0,1.4,,
21984.0,2.5,,
21985.0,4.3,,
21986.0,2.5,,
21987.0,1.6,,
21988.0,4.2,,
21989.0,0.19,,
21990.0,0.3,,
21991.0,1.2,,
21992.0,2.2,,
21993.0,2.9,,
21994.0,1.8,,
21995.0,1.3,,
21996.0,2.1,,
21997.0,1.2,,
21998.0,1.2,,
22000.0,2.1,,
22001.0,1.72,,
22002.0,2.8,,
22003.0,1.2,,
22004.0,1.31,,
22005.0,0.7,,
22006.0,0.3,,
22007.0,0.4,,
22008.0,1.0,,
22009.0,0.4,,
22010.0,0.6,,
22011.0,0.4,,
22012.0,0.45,,
22014.0,4.0,,
22015.0,1.1,,
22016.0,1.0,,
22017.0,2.22,,
22019.0,2.8,,
22020.0,1.11,,
22021.0,2.6,,
22022.0,0.28,,
22023.0,1.3,,
22024.0,2.9,,
22025.0,2.8,,
22026.0,0.9,,
22027.0,2.3,,
22028.0,2.0,,
22029.0,0.7,,
22030.0,2.0,,
22031.0,1.2,,
22032.0,4.2,,
22033.0,1.5,,
22034.0,1.7,,
22035.0,0.8,,
22037.0,2.1,,
22038.0,1.03,,
22041.0,1.6,,
22042.0,0.99,,
22043.0,1.99,,
22045.0,1.6,,
22046.0,4.6,,
22047.0,0.4,,
22048.0,2.4,,
22049.0,2.5,,
22050.0,2.7,,
22052.0,1.1,,
22053.0,4.9,,
22054.0,4.2,,
22056.0,1.9,,
22057.0,1.5,,
22058.0,0.6,,
22059.0,4.9,,
22061.0,5.5,,
22065.0,0.8,,
22067.0,4.6,,
22068.0,1.4,,
22069.0,1.5,,
22070.0,1.0,,
22071.0,4.3,,
22072.0,0.3,,
22073.0,0.95,,
22075.0,1.49,,
22076.0,0.5,,
22077.0,4.0,,
22078.0,4.8,,
22079.0,1.6,,
22080.0,1.0,,
22081.0,2.2,,
22082.0,1.6,,
22084.0,1.5,,
22085.0,1.0,,
22086.0,0.91,,
22087.0,4.4,,
22088.0,0.6,,
22089.0,1.01,,
22090.0,1.2,,
22092.0,0.4,,
22093.0,1.6,,
22094.0,4.6,,
22095.0,1.73,,
22096.0,1.0,,
22097.0,0.7,,
22098.0,1.2,,
22099.0,4.7,,
22100.0,1.34,,
22101.0,1.6,,
22102.0,2.6,,
22103.0,0.7,,
22104.0,1.29,,
22105.0,0.27,,
22106.0,1.11,,
22107.0,0.87,,
22108.0,4.5,,
22109.0,0.7,,
22110.0,1.7,,
22111.0,1.3,,
22112.0,1.96,,
22113.0,2.3,,
22114.0,0.2,,
22115.0,2.4,,
22116.0,1.0,,
22117.0,2.6,,
22118.0,5.8,,
22119.0,0.3,,
22120.0,1.7,,
22121.0,4.3,,
22122.0,4.5,,
22123.0,4.0,,
22124.0,1.3,,
22125.0,1.0,,
22126.0,1.1,,
22127.0,1.2,,
22128.0,1.8,,
22129.0,1.0,,
22130.0,4.7,,
22132.0,0.8,,
22133.0,5.2,,
22134.0,4.0,,
22135.0,0.68,,
22136.0,0.6,,
22138.0,4.4,,
22139.0,1.6,,
22140.0,4.4,,
22141.0,4.2,,
22143.0,1.1,,
22144.0,4.6,,
22145.0,1.4,,
22146.0,0.9,,
22147.0,1.11,,
22148.0,3.3,,
22149.0,1.5,,
22150.0,1.5,,
22151.0,1.9,,
22152.0,0.81,,
22153.0,0.5,,
22154.0,1.8,,
22155.0,0.8,,
22156.0,1.7,,
22157.0,0.9,,
22159.0,5.8,,
22160.0,0.6,,
22161.0,0.3,,
22162.0,4.0,,
22163.0,0.53,,
22165.0,0.4,,
22166.0,0.18,,
22167.0,0.8,,
22168.0,2.7,,
22170.0,1.2,,
22171.0,1.6,,
22172.0,2.6,,
22173.0,3.7,,
22174.0,1.5,,
22175.0,0.4,,
22177.0,0.67,,
22178.0,1.24,,
22179.0,4.7,,
22180.0,2.0,,
22181.0,0.4,,
22182.0,0.9,,
22183.0,0.6,,
22184.0,0.83,,
22185.0,3.8,,
22186.0,2.2,,
22187.0,2.3,,
22188.0,3.3,,
22189.0,1.6,,
22190.0,4.1,,
22191.0,4.0,,
22192.0,2.3,,
22193.0,1.0,,
22194.0,0.2,,
22195.0,0.5,,
22196.0,0.3,,
22197.0,0.5,,
22198.0,2.8,,
22199.0,0.3,,
22201.0,0.9,,
22202.0,1.2,,
22204.0,1.61,,
22205.0,1.4,,
22206.0,2.8,,
22207.0,2.5,,
22208.0,0.7,,
22209.0,1.8,,
22210.0,1.7,,
22213.0,0.29,,
22215.0,1.19,,
22217.0,1.0,,
22218.0,0.7,,
22219.0,1.5,,
22220.0,4.6,,
22221.0,2.7,,
22222.0,0.9,,
22223.0,0.7,,
22224.0,2.0,,
22226.0,4.2,,
22228.0,0.18,,
22229.0,3.9,,
22230.0,0.89,,
22231.0,2.1,,
22232.0,1.9,,
22233.0,4.9,,
22235.0,1.4,,
22236.0,2.4,,
22237.0,0.8,,
22238.0,0.57,,
22239.0,2.1,,
22240.0,2.4,,
22242.0,1.4,,
22243.0,2.7,,
22244.0,0.26,,
22245.0,0.39,,
22246.0,1.5,,
22248.0,1.59,,
22250.0,4.5,,
22251.0,1.3,,
22252.0,1.47,,
22253.0,0.9,,
22254.0,1.4,,
22255.0,4.2,,
22256.0,0.0,,
22257.0,0.7,,
22258.0,1.8,,
22259.0,1.1,,
22260.0,2.5,,
22261.0,1.0,,
22262.0,1.3,,
22264.0,2.1,,
22265.0,1.3,,
22266.0,2.5,,
22267.0,1.7,,
22268.0,1.4,,
22269.0,3.3,,
22270.0,0.2,,
22271.0,0.4,,
22272.0,2.5,,
22273.0,0.22,,
22274.0,0.7,,
22275.0,0.63,,
22276.0,0.9,,
22278.0,1.9,,
22279.0,0.8,,
22280.0,0.4,,
22282.0,0.31,,
22284.0,1.0,,
22286.0,1.9,,
22287.0,3.0,,
22288.0,2.4,,
22289.0,0.8,,
22290.0,1.4,,
22291.0,0.7,,
22292.0,1.4,,
22293.0,1.4,,
22294.0,1.0,,
22295.0,5.8,,
22296.0,0.5,,
22297.0,2.7,,
22298.0,2.8,,
22299.0,1.1,,
22301.0,1.1,,
22302.0,1.0,,
22303.0,1.9,,
22304.0,1.0,,
22306.0,4.1,,
22307.0,1.4,,
22308.0,2.6,,
22310.0,0.91,,
22311.0,0.8,,
22312.0,2.0,,
22313.0,0.3,,
22314.0,1.09,,
22315.0,0.9,,
22316.0,4.4,,
