mag,effectif,coastal
0.0,305,True
0.01,23,True
0.02,12,True
0.03,22,True
0.04,23,True
0.05,16,True
0.06,25,True
0.07,22,True
0.08,30,True
0.09,22,True
0.1,663,True
0.11,71,True
0.12,80,True
0.13,81,True
0.14,82,True
0.15,85,True
0.16,80,True
0.17,88,True
0.18,134,True
0.19,136,True
0.2,1199,True
0.21,138,True
0.22,121,True
0.23,133,True
0.24,140,True
0.25,141,True
0.26,147,True
0.27,138,True
0.28,169,True
0.29,133,True
0.3,1465,True
0.31,159,True
0.32,165,True
0.33,196,True
0.34,166,True
0.35,187,True
0.36,181,True
0.37,168,True
0.38,195,True
0.39,159,True
0.4,1960,True
0.41,165,True
0.42,133,True
0.43,294,True
0.44,154,True
0.45,186,True
0.46,203,True
0.47,176,True
0.48,173,True
0.49,173,True
0.5,2182,True
0.51,165,True
0.52,178,True
0.53,214,True
0.54,166,True
0.55,292,True
0.56,298,True
0.57,206,True
0.58,208,True
0.59,168,True
0.6,2621,True
0.61,211,True
0.62,184,True
0.63,180,True
0.64,170,True
0.65,191,True
0.66,183,True
0.67,196,True
0.68,203,True
0.69,226,True
0.7,2408,True
0.71,196,True
0.72,205,True
0.73,195,True
0.74,214,True
0.75,192,True
0.76,217,True
0.77,198,True
0.78,215,True
0.79,218,True
0.8,2717,True
0.81,231,True
0.82,217,True
0.83,224,True
0.84,224,True
0.85,228,True
0.86,232,True
0.87,236,True
0.88,274,True
0.89,218,True
0.9,3479,True
0.91,199,True
0.92,178,True
0.93,205,True
0.94,183,True
0.95,195,True
0.96,197,True
0.97,192,True
0.98,179,True
0.99,186,True
1.0,3341,True
1.01,197,True
1.02,209,True
1.03,240,True
1.04,192,True
1.05,182,True
1.06,210,True
1.07,182,True
1.08,195,True
1.09,171,True
1.1,3459,True
1.11,181,True
1.12,208,True
1.13,207,True
1.14,214,True
1.15,182,True
1.16,182,True
1.17,206,True
1.18,183,True
1.19,175,True
1.2,3464,True
1.21,143,True
1.22,174,True
1.23,174,True
1.24,186,True
1.25,166,True
1.26,142,True
1.27,155,True
1.28,125,True
1.29,135,True
1.3,3087,True
1.31,138,True
1.32,136,True
1.33,146,True
1.34,135,True
1.35,160,True
1.36,151,True
1.37,129,True
1.38,152,True
1.39,121,True
1.4,3088,True
1.41,134,True
1.42,145,True
1.43,117,True
1.44,129,True
1.45,131,True
1.46,121,True
1.47,138,True
1.48,110,True
1.49,133,True
1.5,2828,True
1.51,97,True
1.52,119,True
1.53,113,True
1.54,108,True
1.55,112,True
1.56,123,True
1.57,114,True
1.58,127,True
1.59,110,True
1.6,2574,True
