,mag
1632,0.6
1634,0.3
1637,0.3
1641,0.9
1645,1.71
1648,0.08
1649,1.0
1650,1.03
1652,1.38
1654,1.01
1656,0.5
1659,1.2
1664,1.8
1665,1.1
1666,0.9
1667,1.2
1671,0.38
1672,2.2
1675,0.7
1682,1.3
1683,1.1
1686,0.4
1690,0.9
1691,0.3
1693,1.5
1695,0.3
1699,1.11
1701,1.5
1703,1.0
1707,0.3
1708,1.4
1709,0.5
1710,0.3
1711,0.2
1719,0.9
1720,0.91
1724,0.8
1725,0.3
1731,1.7
1733,3.0
1737,1.1
1741,0.5
1744,1.49
1745,0.4
1760,0.88
1763,0.6
1766,0.23
1770,0.4
1773,0.8
1774,0.7
1775,1.2
1782,1.3
1787,1.34
1792,1.06
1795,0.8
1796,0.3
1797,1.07
1800,1.0
1812,0.9
1814,0.4
1816,0.7
1817,1.03
1819,2.01
1820,0.61
1824,1.1
1825,1.8
1828,0.8
1829,0.5
1832,0.5
1841,0.9
1842,0.3
1847,1.8
1850,1.1
1851,1.8
1852,1.3
1853,1.89
1854,1.06
1858,0.34
1860,1.05
1861,0.49
1866,0.9
1867,1.1
1869,1.0
1870,0.99
1872,0.3
1874,0.9
1876,0.78
1877,1.1
1878,1.3
1879,0.5
1880,0.4
1884,0.9
1889,0.31
1891,0.9
1892,1.5
1894,0.9
1895,0.8
1898,0.4
1902,0.25
1903,0.92
1904,1.65
1905,0.8
1909,1.7
1914,0.9
1918,0.4
1919,0.67
1922,2.24
1924,1.23
1927,0.7
1932,0.68
1939,0.9
1940,0.5
1941,1.1
1943,0.7
1945,1.2
1946,0.5
1947,2.9
1949,0.73
1950,0.63
1951,1.1
1952,0.5
1953,1.18
1954,1.09
1955,2.0
1956,1.09
1957,0.58
1959,0.2
1963,0.74
1966,0.6
1969,2.5
1974,0.6
1975,0.26
1976,0.6
1977,0.7
1978,1.0
1984,0.7
1986,0.9
1987,1.94
1988,0.4
1989,0.8
1993,0.5
1994,1.5
1999,1.5
2001,0.3
2002,0.2
2003,0.83
2006,0.8
2007,0.4
2009,2.3
2011,1.57
2014,1.3
2019,0.66
2020,0.46
2022,1.1
2023,0.87
2026,1.26
2027,1.18
2029,0.61
2034,1.7
2037,0.9
2038,1.44
2042,0.73
2043,0.9
2050,0.6
2051,0.9
2054,1.2
2057,1.0
2059,0.5
2064,0.7
2066,1.6
2068,1.7
2069,1.11
2070,0.54
2073,0.6
2075,1.58
2076,2.3
2078,2.0
2082,0.24
2090,1.0
2092,0.2
2093,1.1
2094,0.9
2095,0.32
2096,0.8
2099,0.9
2101,2.01
2102,1.26
2103,0.9
2105,1.34
2106,0.3
2107,0.3
2110,0.9
2113,0.62
2114,0.6
2116,0.6
2121,0.9
2122,0.9
2125,0.82
2126,1.2
2129,0.65
2131,1.1
2132,1.4
2133,0.2
2134,0.7
2138,0.9
2140,1.7
2141,1.0
2142,0.6
2143,1.2
2149,0.9
2150,1.44
2151,0.6
2155,0.77
2162,0.4
2168,0.95
2169,1.43
2170,1.6
2173,1.2
2176,0.41
2178,1.9
2179,0.9
2184,0.5
2185,0.9
2189,0.9
2194,0.65
2196,1.0
2198,0.6
2199,0.2
2206,1.99
2213,0.9
2218,0.8
2220,1.8
2221,0.6
2222,0.9
2224,1.0
2225,2.3
2226,1.2
2227,1.1
2229,0.66
2231,0.5
2232,1.5
2236,0.3
2239,1.1
2242,0.61
2244,0.29
2245,0.2
2246,0.99
2253,0.71
2254,2.0
2256,0.58
2257,1.2
2260,2.49
2262,2.02
