,mag
10,4.2
14,4.3
16,4.4
26,4.2
31,4.3
37,4.0
38,4.7
41,4.5
64,4.5
70,4.3
74,4.5
77,4.8
80,4.4
110,5.1
116,4.1
133,4.4
134,4.1
135,4.2
142,4.4
143,4.3
150,4.5
152,4.4
168,4.5
169,3.8
170,4.6
177,4.5
181,4.1
183,4.2
205,4.2
219,4.4
222,4.4
231,4.5
234,4.2
236,4.5
242,4.8
253,4.3
315,4.2
327,4.5
329,4.3
339,4.3
340,4.0
344,4.0
346,4.1
353,4.3
363,4.1
365,4.4
366,4.4
369,4.5
372,4.8
380,4.5
382,3.8
384,4.7
385,4.4
418,4.7
430,4.6
439,4.9
443,4.1
447,4.3
452,4.1
453,4.6
462,4.1
489,4.7
492,4.3
523,4.5
551,4.5
565,4.4
620,4.5
639,4.4
643,4.3
646,4.6
658,4.1
660,4.3
666,4.2
678,4.6
699,4.7
700,4.5
739,4.1
740,4.5
750,4.6
776,4.8
777,4.3
784,5.0
785,4.5
796,4.8
811,4.8
812,4.9
814,4.6
825,4.5
829,5.1
858,4.3
877,5.6
882,4.3
893,4.1
904,4.5
914,4.8
920,4.4
944,4.2
951,4.2
956,3.8
966,4.3
987,4.3
1016,5.6
1022,3.7
1031,4.1
1033,4.3
1034,4.3
1036,4.9
1040,4.1
1047,4.7
1053,4.4
1054,4.5
1077,4.3
1082,4.4
1085,4.9
1088,4.0
1091,4.6
1093,4.2
1094,4.6
1114,4.4
1122,4.5
1123,4.5
1164,4.3
1165,4.0
1169,4.1
1173,4.2
1177,4.5
1181,4.4
1188,4.5
1189,4.8
1193,4.3
1205,4.5
1208,5.1
1216,4.7
1221,4.2
1234,4.4
1240,4.2
1243,4.4
1248,4.4
1257,4.3
1259,4.3
1266,4.4
1269,4.6
1294,4.8
1295,4.7
1299,4.0
1302,4.0
1310,4.1
1311,4.5
1314,4.0
1327,4.4
1333,4.1
1337,4.7
1356,4.2
1358,4.4
1364,4.5
1378,4.7
1379,4.4
1382,4.6
1384,4.5
1387,4.7
1390,4.3
1398,4.5
1412,4.1
1420,4.4
1421,4.7
1424,4.1
1426,5.3
1433,5.0
1438,4.7
1439,4.4
1440,4.8
1441,4.7
1449,4.6
1463,4.1
1470,4.6
1503,4.3
1510,4.2
1521,4.1
1523,4.6
1530,4.0
1532,4.3
1535,4.4
1548,4.8
1551,4.2
1554,4.2
1579,4.7
1580,4.0
1591,4.1
1592,4.1
1601,4.0
1603,3.7
1611,4.8
1614,5.1
1618,4.3
1633,4.2
1643,4.6
1658,4.3
1660,4.1
1662,4.3
1668,4.4
1670,4.2
1674,4.2
1681,4.1
1684,4.6
1687,4.2
1700,4.1
1704,5.0
1706,4.4
1712,4.2
1714,4.7
1715,4.6
1717,4.2
1718,4.4
1721,4.2
1722,5.4
1729,4.2
1730,5.1
1734,4.3
1739,4.0
1746,4.7
1747,4.4
1748,4.6
1749,4.1
1752,4.0
1756,4.5
1757,4.1
1758,4.5
1759,4.4
1761,4.6
1762,4.2
1767,4.4
1768,4.4
1769,4.3
1771,4.1
1772,4.3
1776,4.2
1779,4.6
1783,4.4
1785,4.4
1786,4.5
1788,4.3
1789,4.3
1791,4.3
1793,4.6
1794,4.3
1798,4.7
1802,4.2
1803,4.1
1804,5.6
1805,6.1
1806,4.2
1813,4.4
1822,5.2
1823,4.1
1826,4.1
1838,4.2
1845,5.2
1849,4.5
1865,4.3
1871,4.3
1873,4.9
1890,4.0
1897,4.3
1901,4.8
1908,5.0
1910,5.3
1912,4.9
1930,4.4
1933,5.2
1935,4.6
1938,4.8
1944,4.9
1948,4.2
1962,4.1
1964,4.4
1965,4.2
1968,4.0
2005,4.2
2017,4.2
2049,4.1
2053,4.5
2061,5.4
2063,4.7
2072,4.2
2083,4.2
2084,4.2
2115,4.2
2146,4.4
2147,4.3
2153,4.0
2163,4.1
2165,4.4
2166,3.9
2167,4.3
2171,4.1
2174,4.0
2175,4.5
2177,4.3
2183,4.3
2186,4.1
2200,4.1
2201,4.2
2203,4.3
2204,4.5
2209,5.2
2211,6.1
2235,4.5
2237,4.4
2250,4.6
2271,4.3
2276,4.1
2277,4.4
2288,4.2
2290,4.5
2292,4.3
2294,4.6
2299,4.5
2301,4.4
2308,4.2
2314,4.9
2322,4.1
2342,4.4
2343,5.0
2345,4.5
2346,4.3
2354,4.0
2360,4.3
2364,4.0
2377,3.9
2379,4.9
2381,5.3
2383,3.8
2384,4.4
2386,3.9
2395,4.4
2399,4.2
2402,3.6
2405,4.4
2412,4.3
2422,3.9
2428,4.2
2429,4.6
2437,4.7
2445,4.4
2461,4.4
2464,3.9
2468,4.0
2473,4.3
2483,4.5
2497,4.2
2499,4.5
2506,4.2
2511,4.1
2520,4.0
2524,3.7
2533,4.6
2538,4.1
2540,4.9
2549,4.7
2552,4.9
2564,5.0
2570,4.4
2576,4.6
2577,4.3
